Title,Short_Title,Link,Sale_Price,Original_Price,Reviews,Discount (%)
"Apple MacBook Air 11"" (Mid 2013) - Core i5 1.3GHz, 4GB RAM, 128GB SSD (Renewed)","Apple MacBook Air 11"" (Mid 201",/Apple-MacBook-11-inch-Laptop-Graphics/dp/B07G1BTQ83/ref=sr_1_28?keywords=macbook+pro+m1&qid=1641921616&sr=8-28,283.99,283.99,12,0
"ASUS C434 Full HD 14 Inch Touchscreen ChromeBook (Intel M3-8100Y Processor, 128 GB eMMC, 4 GB RAM, 360 Degree Full HD Rotatable NanoEdge Touchscreen), Silver",ASUS C434 Full HD 14 Inch Touc,/ASUS-Touchscreen-ChromeBook-Processor-Rotatable/dp/B07Q49MF5K/ref=sr_1_29?keywords=macbook+pro+m1&qid=1641921616&sr=8-29,0,0,0,
"Early 2015 Apple MacBook Air with 1.6GHz Intel Core i5 (13 inch, 4GB RAM, 128GB SSD) Silver (Renewed)",Early 2015 Apple MacBook Air w,/Apple-MacBook-Air-Early-2015/dp/B07WDR3RYK/ref=sr_1_30?keywords=macbook+pro+m1&qid=1641921616&sr=8-30,419.99,419.99,6,0
"Apple MacBook Air 13"" (Scissor, 2020) - Core i5 1.1GHGz, 8GB RAM, 512GB SSD - Gold (Renewed)","Apple MacBook Air 13"" (Scissor",/Apple-MacBook-Air-Scissor-2020/dp/B08R24L1SJ/ref=sr_1_31?keywords=macbook+pro+m1&qid=1641921616&sr=8-31,0,0,12,
"Apple MacBook Pro 13” Retina Display Core i7 3Ghz, 8GB, 512GB Solid State Drive, OS 10.15 Catalina (Renewed)",Apple MacBook Pro 13” Retina D,/Apple-MacBook-Display-Catalina-Renewed/dp/B082BBVTPJ/ref=sr_1_32?keywords=macbook+pro+m1&qid=1641921616&sr=8-32,799.99,799.99,1,0
"ASUS VivoBook S 15 - S513EA Full HD 15.6"" Metal Laptop (Intel Quad Core i5-1135G7, 16GB RAM, 512GB SSD, Backlit Keyboard, Windows 10) Includes WiFi 6",ASUS VivoBook S 15 - S513EA Fu,/ASUS-VivoBook-15-i5-1135G7-Keyboard/dp/B08CKXSM6J/ref=sr_1_33?keywords=macbook+pro+m1&qid=1641921621&sr=8-33,649,699.99,252,7.284389777
"CHUWI CoreBook Pro 13 inch Laptop, 8GB RAM 256GB SSD Intel Core i3-6157U Processor Windows 10 Conputer, FHD 2160x1440 IPS Display, Support 4K Video Decoding, Dual-band WiFi 2.4G/5G, Fast Charge",CHUWI CoreBook Pro 13 inch Lap,/CHUWI-Intel-Processor-Frequency-2160x1440/dp/B08MVYC5PW/ref=sr_1_34?keywords=macbook+pro+m1&qid=1641921621&sr=8-34,449.99,449.99,35,0
"CHUWI Herobook Pro Windows 10 Laptop, 14 inch FHD(1920x1080) 16:9 IPS Notebook Laptops, Intel N4020(Up to 2.8GHz), 8GB RAM, 256GB SSD(TF 512GB), 4K Video, WiFi, BT4.0, Type-C, Mini-HDMI Computer",CHUWI Herobook Pro Windows 10 ,/CHUWI-HeroBook-Pro-Ultrabook-Decoding/dp/B083DQPPT3/ref=sr_1_35?keywords=macbook+pro+m1&qid=1641921621&sr=8-35,0,0,609,
"Microsoft Surface Laptop Go Ultra-Thin 12.4” Touchscreen Laptop (Platinum) - Intel 10th Gen Quad Core i5, 8GB RAM, 128GB SSD, Windows 10 Home in S Mode, 2020 Edition",Microsoft Surface Laptop Go Ul,/Microsoft-Surface-Ultra-Thin-Touchscreen-Platinum/dp/B08HJ2W4HX/ref=sr_1_36?keywords=macbook+pro+m1&qid=1641921621&sr=8-36,618,699,321,11.58798283
"CHUWI GemiBook Windows 10 Laptops, 13 Inch FHD (2160x1440) IPS Display, 8GB RAM+256GB SSD Ultra Thin Notebook ,4K Video, Intel Celeron J4125 Processor(Up to 2.7 GHZ), Fast Charge Office Laptops",CHUWI GemiBook Windows 10 Lapt,/CHUWI-GemiBook-2160x1440-Intel-Processor/dp/B08HQH9Y4H/ref=sr_1_37?keywords=macbook+pro+m1&qid=1641921621&sr=8-37,379,379,238,0
"Dell Latitude 7350 Laptop, 256GB SSD, 8GB RAM (Renewed) (Refurbished)","Dell Latitude 7350 Laptop, 256",/Dell-Latitude-Laptop-Renewed-Refurbished/dp/B08D6PKCFT/ref=sr_1_38?keywords=macbook+pro+m1&qid=1641921621&sr=8-38,339.99,339.99,115,0
"Apple MacBook Air 11in (Early 2014) - Core i5 1.4GHz, 4GB RAM, 128GB SSD (Renewed)",Apple MacBook Air 11in (Early ,/Apple-MacBook-11in-Early-2014/dp/B07J6TFG5N/ref=sr_1_39?keywords=macbook+pro+m1&qid=1641921621&sr=8-39,0,0,1,
"Lenovo IdeaPad 1i 11.6'' Laptop - Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 10S, Ice Blue + Office 365 Personal",Lenovo IdeaPad 1i 11.6'' Lapto,/Lenovo-IdeaPad-11-6-Laptop-Processor/dp/B08CNM39GJ/ref=sr_1_40?keywords=macbook+pro+m1&qid=1641921621&sr=8-40,182,199.99,398,8.995449772
"Lenovo ThinkPad T440s Core i5 4200U - 8 GB RAM - 256 GB SSD - 14"" 1600 x 900 ( HD+ ) - HD Graphics 4400 - Windows 10 Pro (Renewed)",Lenovo ThinkPad T440s Core i5 ,/Lenovo-ThinkPad-T440s-Core-4200U/dp/B09B7Y4YW6/ref=sr_1_41?keywords=macbook+pro+m1&qid=1641921621&sr=8-41,249.9,249.9,4,0
"Lenovo IdeaPad Duet Chromebook 10.1 Inch FHD 2-in-1 Laptop - (MediaTek P60T, 4 GB RAM, 64 GB eMCP, Chrome OS)",Lenovo IdeaPad Duet Chromebook,/Lenovo-IdeaPad-Duet-Chromebook-Laptop/dp/B08BLH2DHL/ref=sr_1_42?keywords=macbook+pro+m1&qid=1641921621&sr=8-42,0,0,352,
